probe_key_response,response_delay,thisPage_probe_time,probe_appeared,time_since_last_probe,condition,page,thisPage_display_time,time_spent_on_page,participant,gender,consent given,dateStr,
Intentional Mind Wandering,1.0723823999978777,2.1774957999987237,4.207316500000161,4.2072990000015125,SC,17.1.png,2.029822200001945,,,m,False,2023-03-22_18h38.35.625,
,,,,,,,,7.935932099997444,,m,False,2023-03-22_18h38.35.625,
,,2.1774957999987237,4.207316500000161,4.2072990000015125,SC,17.2.png,6.253972900001827,,,m,False,2023-03-22_18h38.35.625,
Intentional Mind Wandering,0.5853449000023829,0.7957234999994398,9.710445099997742,4.430732900000294,SC,17.2.png,8.914725700000417,,,m,False,2023-03-22_18h38.35.625,
,,0.7957234999994398,9.710445099997742,4.430732900000294,SC,17.2.png,11.27869819999978,,,m,False,2023-03-22_18h38.35.625,
,,,,,,,,8.026773100002174,,m,False,2023-03-22_18h38.35.625,
,,0.7957234999994398,9.710445099997742,4.430732900000294,SC,17.3.png,15.01242330000241,,,m,False,2023-03-22_18h38.35.625,
,,0.7957234999994398,9.710445099997742,4.430732900000294,SC,17.3.png,16.94884070000262,,,m,False,2023-03-22_18h38.35.625,
Unintentional Mind Wandering,0.5120596999986446,0.397910799998499,21.020720699998492,10.724916099999973,SC,17.3.png,20.62281129999974,,,m,False,2023-03-22_18h38.35.625,
,,,,,,,,9.623325399999885,,m,False,2023-03-22_18h38.35.625,
,,0.397910799998499,21.020720699998492,10.724916099999973,SC,17.4.png,22.511958900002355,,,m,False,2023-03-22_18h38.35.625,
Unintentional Mind Wandering,0.9510425000007672,0.6223538000012923,27.187283299997944,5.654488300002413,SC,17.4.png,26.56493060000139,,,m,False,2023-03-22_18h38.35.625,
,,,,,,,,4.964940400001069,,m,False,2023-03-22_18h38.35.625,
,,0.6223538000012923,27.187283299997944,5.654488300002413,SC,17.5.png,29.12485949999973,,,m,False,2023-03-22_18h38.35.625,
,,0.6223538000012923,27.187283299997944,5.654488300002413,SC,17.5.png,31.53053600000203,,,m,False,2023-03-22_18h38.35.625,
,,0.6223538000012923,27.187283299997944,5.654488300002413,SC,17.5.png,33.097595600000204,,,m,False,2023-03-22_18h38.35.625,
Unintentional Mind Wandering,1.1241774000009173,0.754462799999601,36.258973799998785,8.120633500002441,SC,17.5.png,35.504512800001976,,,m,False,2023-03-22_18h38.35.625,
Unintentional Mind Wandering,0.7035638999986986,2.6944361999994726,41.058341299998574,3.675175799999124,SC,17.5.png,38.36390660000325,,,m,False,2023-03-22_18h38.35.625,
Unintentional Mind Wandering,1.68081009999878,0.7456442000002426,43.53487049999967,1.7729510000026494,SC,17.5.png,42.78922740000053,,,m,False,2023-03-22_18h38.35.625,
Intentional Mind Wandering,1.251591299998836,3.8597356999998738,50.05197549999866,4.8362770000021555,SC,17.5.png,46.19224120000217,,,m,False,2023-03-22_18h38.35.625,
,,,,,,,,23.709522000001016,,m,False,2023-03-22_18h38.35.625,
,,3.8597356999998738,50.05197549999866,4.8362770000021555,SC,17.6.png,52.305791200000385,,,m,False,2023-03-22_18h38.35.625,
,,,,,,,,3.5373663999998826,,m,False,2023-03-22_18h38.35.625,
,,3.8597356999998738,50.05197549999866,4.8362770000021555,SC,17.7.png,55.25068300000203,,,m,False,2023-03-22_18h38.35.625,
Intentional Mind Wandering,0.9965622999989137,0.7133985000000393,59.53888290000032,8.235299700001633,SC,17.7.png,58.82548470000256,,,m,False,2023-03-22_18h38.35.625,
,,,,,,,,4.904599000001326,,m,False,2023-03-22_18h38.35.625,
,,0.7133985000000393,59.53888290000032,8.235299700001633,SC,17.8.png,61.52121640000041,,,m,False,2023-03-22_18h38.35.625,
,,,,,,,,1.5399622000004456,,m,False,2023-03-22_18h38.35.625,
,,0.7133985000000393,59.53888290000032,8.235299700001633,SC,17.9.png,63.69080560000293,,,m,False,2023-03-22_18h38.35.625,
Intentional Mind Wandering,0.5322966999992786,1.10065079999913,66.33838119999928,5.80292190000182,SC,17.9.png,65.23773179999989,,,m,False,2023-03-22_18h38.35.625,
,,,,,,,,7.199725800001033,,m,False,2023-03-22_18h38.35.625,
,,1.10065079999913,66.33838119999928,5.80292190000182,SC,17.10.png,67.85215600000083,,,m,False,2023-03-22_18h38.35.625,
,,1.10065079999913,66.33838119999928,5.80292190000182,SC,17.10.png,72.42647620000207,,,m,False,2023-03-22_18h38.35.625,
Intentional Mind Wandering,0.8268064000003505,1.2226152000002912,75.31131449999884,8.440623599999526,SC,17.10.png,74.08870380000008,,,m,False,2023-03-22_18h38.35.625,
,,,,,,,,7.86078610000186,,m,False,2023-03-22_18h38.35.625,
,,1.2226152000002912,75.31131449999884,8.440623599999526,SC,17.11.png,77.1145843000013,,,m,False,2023-03-22_18h38.35.625,
,,1.2226152000002912,75.31131449999884,8.440623599999526,SC,17.11.png,80.28423570000086,,,m,False,2023-03-22_18h38.35.625,
Unintentional Mind Wandering,0.5722939999977825,2.0429938999986916,83.86903059999895,7.730892700001277,SC,17.11.png,81.82603850000305,,,m,False,2023-03-22_18h38.35.625,
,,2.0429938999986916,83.86903059999895,7.730892700001277,SC,17.11.png,85.4283585000012,,,m,False,2023-03-22_18h38.35.625,
,,2.0429938999986916,83.86903059999895,7.730892700001277,SC,17.11.png,144.33600540000043,,,m,False,2023-03-22_18h38.35.625,
,,,,,,,,87.09969419999834,,m,False,2023-03-22_18h38.35.625,
,,2.0429938999986916,83.86903059999895,7.730892700001277,SC,17.12.png,145.91888130000007,,,m,False,2023-03-22_18h38.35.625,
