page,probe_key_response,thisPage_display_time,thisPage_probe_appearance_time,probe_appeared,time_since_last_probe,response_delay,condition,time_on_page,participant,gender,consent given,dateStr,
17.1.png,Unintentional Mind Wandering,2.2696826999999757,0.23728520000008757,2.5069686999997884,2.5069624000000204,0.8214446000001772,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.1.png,,,,,,,,3.696935799999892,taedfad,m,True,2023-03-22_12h01.04.483,
17.2.png,Intentional Mind Wandering,5.014325400000189,-2.8878449000001183,5.454938099999936,2.1264734999999746,0.5659897999998975,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.2.png,,,,,,,,2.6879750999999033,taedfad,m,True,2023-03-22_12h01.04.483,
17.3.png,Unintentional Mind Wandering,6.417025400000057,-5.6060686000000715,6.831928799999787,0.810950000000048,0.4728538000001663,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.3.png,,,,,,,,1.288000000000011,taedfad,m,True,2023-03-22_12h01.04.483,
17.4.png,Intentional Mind Wandering,7.704275300000063,-6.99221620000003,8.016895499999919,0.7120534000000589,0.4973041999999168,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.4.png,,,,,,,,1.1868434000000434,taedfad,m,True,2023-03-22_12h01.04.483,
17.5.png,Unintentional Mind Wandering,8.889918900000112,-8.190277200000082,9.213889399999971,0.6996358000001237,0.4583364000000074,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.5.png,,,,,,,,1.119070899999997,taedfad,m,True,2023-03-22_12h01.04.483,
17.6.png,,,,,,,,0.40792400000009366,taedfad,m,True,2023-03-22_12h01.04.483,
17.7.png,Intentional Mind Wandering,10.418491800000083,-9.182911200000035,10.9078556999998,1.235573899999963,0.449072200000046,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.7.png,Unintentional Mind Wandering,11.671240300000136,-11.0434051000002,11.984812899999952,0.6278283000001466,0.9170773999999255,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.7.png,,,,,,,,2.905868599999849,taedfad,m,True,2023-03-22_12h01.04.483,
17.8.png,Unintentional Mind Wandering,13.328294400000004,-12.549463800000012,13.680766799999901,0.7788237999998273,0.48324750000006134,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.8.png,Unintentional Mind Wandering,14.19513360000019,-13.944366200000104,14.414831599999843,0.25076050000006944,0.5709885000001123,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.8.png,Intentional Mind Wandering,15.018375100000185,-14.749455300000136,15.25478669999984,0.26891440000008515,0.5328286000001299,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.8.png,Intentional Mind Wandering,15.819612900000038,-15.58751140000004,16.019762799999853,0.23209489999999278,0.4950865000000704,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.8.png,Unintentional Mind Wandering,16.54665050000017,-16.302845300000172,16.758701099999826,0.24379979999980605,0.5118092000000161,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.8.png,Intentional Mind Wandering,17.30359229999999,-17.105467199999794,17.468685699999924,0.19811810000010155,0.5213593999999375,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.8.png,Unintentional Mind Wandering,18.02209210000001,-17.84349989999987,18.168688599999996,0.17858670000009624,0.5409406999999646,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.8.png,,,,,,,,5.680937699999959,taedfad,m,True,2023-03-22_12h01.04.483,
17.9.png,Unintentional Mind Wandering,19.004535400000123,-18.399618600000167,19.314597299999832,0.6049110999999812,0.5290824999999586,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.9.png,,,,,,,,1.0569158000000698,taedfad,m,True,2023-03-22_12h01.04.483,
17.10.png,Unintentional Mind Wandering,20.061096200000065,-19.707182800000055,20.197639399999844,0.3539078999999674,0.41817740000010417,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.10.png,,,,,,,,0.7779328999999962,taedfad,m,True,2023-03-22_12h01.04.483,
17.11.png,Unintentional Mind Wandering,20.838915100000122,-20.50827510000022,20.946504499999946,0.3306347000000187,0.3760873999999603,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.11.png,,,,,,,,0.7230042000001049,taedfad,m,True,2023-03-22_12h01.04.483,
17.12.png,Intentional Mind Wandering,21.56234200000017,-21.190347400000064,21.694632599999977,0.371988999999985,0.3563779999999497,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.12.png,,,,,,,,0.6109897000001183,taedfad,m,True,2023-03-22_12h01.04.483,
17.13.png,Unintentional Mind Wandering,22.173090700000103,-21.893731700000217,22.330417699999998,0.27935339999999087,0.3441625999998905,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.13.png,,,,,,,,0.7310257999999976,taedfad,m,True,2023-03-22_12h01.04.483,
17.14.png,Intentional Mind Wandering,22.905417100000022,-22.49824199999989,23.081801999999925,0.4071696000000884,0.37599999999997635,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.14.png,,,,,,,,0.8510144000001674,taedfad,m,True,2023-03-22_12h01.04.483,
17.15.png,Unintentional Mind Wandering,23.755612600000177,-23.232951600000206,23.980510299999878,0.522655499999928,0.29511729999990166,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
17.15.png,,,,,,,,0.721963199999891,taedfad,m,True,2023-03-22_12h01.04.483,
17.16.png,Intentional Mind Wandering,24.47736050000003,-24.05749290000017,24.695543999999927,0.41986199999996643,0.32423819999985426,SC,,taedfad,m,True,2023-03-22_12h01.04.483,
