page,time_spent_on_page,participant,gender,consent given,dateStr,
17.1.png,3.977377900000647,kjh,m,True,2023-03-22_14h23.23.184,
17.2.png,1.6859874000001582,kjh,m,True,2023-03-22_14h23.23.184,
17.3.png,1.214958900000056,kjh,m,True,2023-03-22_14h23.23.184,
17.4.png,1.5679928999998083,kjh,m,True,2023-03-22_14h23.23.184,
17.5.png,1.4713634999989154,kjh,m,True,2023-03-22_14h23.23.184,
17.6.png,1.4049871999995958,kjh,m,True,2023-03-22_14h23.23.184,
17.7.png,3.753420900000492,kjh,m,True,2023-03-22_14h23.23.184,
17.8.png,2.027612500000032,kjh,m,True,2023-03-22_14h23.23.184,
17.9.png,1.3832851000006485,kjh,m,True,2023-03-22_14h23.23.184,
17.10.png,1.3833169000008638,kjh,m,True,2023-03-22_14h23.23.184,
17.11.png,1.2972088000005897,kjh,m,True,2023-03-22_14h23.23.184,
17.12.png,1.4016123999990668,kjh,m,True,2023-03-22_14h23.23.184,
17.13.png,1.4001681999998254,kjh,m,True,2023-03-22_14h23.23.184,
17.14.png,1.3395722999994177,kjh,m,True,2023-03-22_14h23.23.184,
17.15.png,1.3888120999999956,kjh,m,True,2023-03-22_14h23.23.184,
17.16.png,1.3950313000004826,kjh,m,True,2023-03-22_14h23.23.184,
