page,time_spent_on_page,participant,gender,consent given,dateStr,
17.1.png,8.046309999999721,qwe,m,True,2023-03-22_13h59.52.830,
17.2.png,1.0409710000003543,qwe,m,True,2023-03-22_13h59.52.830,
17.3.png,,,,,,
