probe_appeared,time_since_last_probe,response_delay,probe_key_response,condition,participant,gender,consent given,dateStr,
1.8189936999988277,1.818993099994259,1.0181325000012293,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD1675B0>]],SC,,m,False,2023-03-21_14h56.00.155,
4.513218599997344,1.6760365999944042,0.6177386000053957,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD1677F0>]],SC,,m,False,2023-03-21_14h56.00.155,
5.991898100008257,0.8609020000003511,0.5328367999900365,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD167BE0>]],SC,,m,False,2023-03-21_14h56.00.155,
8.128824300001725,1.6040487999998732,0.6793809000082547,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD167B80>]],SC,,m,False,2023-03-21_14h56.00.155,
9.940801700009615,1.1325597000104608,0.5950740999978734,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD167940>]],SC,,m,False,2023-03-21_14h56.00.155,
12.421775199996773,1.885860499998671,0.7660908000107156,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD167400>]],SC,,m,False,2023-03-21_14h56.00.155,
14.149746700000833,0.9618405999935931,0.5061212000000523,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD145C10>]],SC,,m,False,2023-03-21_14h56.00.155,
15.630677100009052,0.9747743000043556,0.6350438999943435,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD17D040>]],SC,,m,False,2023-03-21_14h56.00.155,
17.95267710000917,1.6869162000075448,0.5838411000004271,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD17D4C0>]],SC,,m,False,2023-03-21_14h56.00.155,
19.27966749999905,0.7431149000040023,0.48299210000550374,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD17D6D0>]],SC,,m,False,2023-03-21_14h56.00.155,
20.38063310000871,0.617933700006688,0.4823589000006905,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD17DA90>]],SC,,m,False,2023-03-21_14h56.00.155,
21.454595200004405,0.5915630000090459,0.42875910000293516,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD17DBB0>]],SC,,m,False,2023-03-21_14h56.00.155,
22.39049520000117,0.5071082999929786,0.4060351000080118,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD17DD00>]],SC,,m,False,2023-03-21_14h56.00.155,
23.327616199996555,0.531046600008267,0.39153200000873767,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD17D880>]],SC,,m,False,2023-03-21_14h56.00.155,
24.169579800000065,0.450399399996968,0.5009168999968097,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD17D580>]],SC,,m,False,2023-03-21_14h56.00.155,
25.182491800005664,0.5119606000080239,0.4212256000027992,[[<psychopy.hardware.keyboard.KeyPress object at 0x00000268AD17D130>]],SC,,m,False,2023-03-21_14h56.00.155,
