page,time_spent_on_page,participant,gender,consent given,dateStr,
17.1.png,4.511012099999789,lkj,m,True,2023-03-22_13h56.21.768,
17.2.png,1.3050170000005892,lkj,m,True,2023-03-22_13h56.21.768,
17.3.png,1.0369732999988628,lkj,m,True,2023-03-22_13h56.21.768,
17.4.png,1.2699020000000019,lkj,m,True,2023-03-22_13h56.21.768,
17.5.png,1.279027499998847,lkj,m,True,2023-03-22_13h56.21.768,
17.6.png,14.214929900001152,lkj,m,True,2023-03-22_13h56.21.768,
17.7.png,1.8806811000013113,lkj,m,True,2023-03-22_13h56.21.768,
17.8.png,1.157952399998976,lkj,m,True,2023-03-22_13h56.21.768,
17.9.png,1.2069309999988036,lkj,m,True,2023-03-22_13h56.21.768,
17.10.png,1.1869964000015898,lkj,m,True,2023-03-22_13h56.21.768,
17.11.png,1.0079292000009445,lkj,m,True,2023-03-22_13h56.21.768,
17.12.png,1.0150507999987894,lkj,m,True,2023-03-22_13h56.21.768,
17.13.png,1.2852120000006835,lkj,m,True,2023-03-22_13h56.21.768,
17.14.png,2.5607018000009703,lkj,m,True,2023-03-22_13h56.21.768,
17.15.png,1.3979165000000648,lkj,m,True,2023-03-22_13h56.21.768,
17.16.png,1.5120301999995718,lkj,m,True,2023-03-22_13h56.21.768,
