page,time_spent_on_page,participant,gender,consent given,dateStr,
17.1.png,11.878013100002136,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.2.png,1.5249208000022918,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.3.png,1.6619842000000062,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.4.png,1.9551590000010037,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.5.png,1.469643399999768,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.6.png,2.3020924999982526,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.7.png,1.5620220999990124,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.8.png,1.399370999999519,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.9.png,1.4855006000034336,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.10.png,1.8062601999990875,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.11.png,2.4269265000002633,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.12.png,1.9823667999989993,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.13.png,1.4459709000002476,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.14.png,1.4009627999985241,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.15.png,1.4492532999975083,sdfsdf,m,True,2023-03-22_16h20.28.949,
17.16.png,1.6631253999985347,sdfsdf,m,True,2023-03-22_16h20.28.949,
